Feature_name,AggregationParameters,ImageFilterSpaceParameters,InterpolationParameters,ReSegmentationParameters,DiscretisationParameters,FeatureSpecificParameters_name,FeatureParameterSpace_name,IBSI_Feature_Name,Unit
original_shape_Elongation,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pca.elongation,
original_shape_Flatness,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pca.flatness,
original_shape_LeastAxisLength,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pca.least,
original_shape_MajorAxisLength,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pca.major,
original_shape_Maximum2DDiameterColumn,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pyrad.diam.max2Dcolumn,mm
original_shape_Maximum2DDiameterRow,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pyrad.diam.max2Drow,mm
original_shape_Maximum2DDiameterSlice,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pyrad.diam.max2Dslice,mm
original_shape_Maximum3DDiameter,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.diam,mm
original_shape_MeshVolume,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.vol,mm(3)
original_shape_MinorAxisLength,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.pca.minor,mm
original_shape_Sphericity,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.sph.sphericity,
original_shape_SurfaceArea,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.area,mm(2)
original_shape_SurfaceVolumeRatio,3D,,,,,FeatureSpecificParameters_1,FeatureParameterSpace_1,Fmorph.av,mm(2/3)
original_firstorder_10Percentile,3D,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_1,FeatureSpecificParameters_7,FeatureParameterSpace_2,Fstat.P10,HU
original_firstorder_90Percentile,3D,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_1,FeatureSpecificParameters_7,FeatureParameterSpace_2,Fstat.P90,HU
