Pyradiomics_Stem_Name,IBSI_Feature_Name,Unit
shape_Elongation,Fmorph.pca.elongation,
shape_Flatness,Fmorph.pca.flatness,
shape_LeastAxisLength,Fmorph.pca.least,
shape_MajorAxisLength,Fmorph.pca.major,
shape_Maximum2DDiameterColumn,Fmorph.pyrad.diam.max2Dcolumn,mm
shape_Maximum2DDiameterRow,Fmorph.pyrad.diam.max2Drow,mm
shape_Maximum2DDiameterSlice,Fmorph.pyrad.diam.max2Dslice,mm
shape_Maximum3DDiameter,Fmorph.diam,mm
shape_MeshVolume,Fmorph.vol,mm(3)
shape_MinorAxisLength,Fmorph.pca.minor,mm
shape_Sphericity,Fmorph.sph.sphericity,
shape_SurfaceArea,Fmorph.area,mm(2)
shape_SurfaceVolumeRatio,Fmorph.av,mm(2/3)
firstorder_10Percentile,Fstat.P10,HU
firstorder_90Percentile,Fstat.P90,HU
firstorder_Energy,Fstat.energy,HU(2)
firstorder_Entropy,Fih.entropy,
firstorder_InterquartileRange,Fstat.iqr,HU
firstorder_Kurtosis,Fstat.kurt,
firstorder_Maximum,Fih.max,HU
firstorder_Mean,Fstat.mean,HU
firstorder_MeanAbsoluteDeviation,Fstat.mad,HU
firstorder_Median,Fstat.median,HU
firstorder_Minimum,Fstat.min,HU
firstorder_Range,Fstat.range,HU
firstorder_RobustMeanAbsoluteDeviation,Fstat.rmad,HU
firstorder_RootMeanSquared,Fstat.rms,
firstorder_Skewness,Fstat.skew,
firstorder_Uniformity,Fih.uniformity,
firstorder_Variance,Fstat.var,HU(2)
glcm_Autocorrelation,Fcm.auto.corr,
glcm_JointAverage,Fcm.joint.avg,
glcm_ClusterProminence,Fcm.clust.prom,
glcm_ClusterShade,Fcm.clust.shade,
glcm_ClusterTendency,Fcm.clust.tend,
glcm_Contrast,Fcm.sum.contrast,
glcm_Correlation,Fcm.corr,
glcm_DifferenceAverage,Fcm.diff.avg,
glcm_DifferenceEntropy,Fcm.diff.entr,
glcm_DifferenceVariance,Fcm.diff.var,
glcm_JointEnergy,Fcm.sum.energy,
glcm_JointEntropy,Fcm.joint.entr,
glcm_Imc1,Fcm.info.corr.1,
glcm_Imc2,Fcm.info.corr.2,
glcm_Idm,Fcm.inv.diff.mom,
glcm_Idmn,Fcm.inv.diff.mom.norm,
glcm_Id,Fcm.inv.diff,
glcm_Idn,Fcm.inv.diff.norm,
glcm_InverseVariance,Fcm.inv.var,
glcm_MaximumProbability,Fcm.joint.max,
glcm_SumEntropy,Fcm.sum.entr,
glcm_SumSquares,Fcm.sum.var,
glrlm_GrayLevelNonUniformity,Frlm.glnu,
glrlm_GrayLevelNonUniformityNormalized,Frlm.glnu.norm,
glrlm_GrayLevelVariance,Frlm.rl.var,
glrlm_HighGrayLevelRunEmphasis,Frlm.hgre,
glrlm_LongRunEmphasis,Frlm.lgre,
glrlm_LongRunHighGrayLevelEmphasis,Frlm.lrhge,
glrlm_LongRunLowGrayLevelEmphasis,Frlm.lrlge,
glrlm_LowGrayLevelRunEmphasis,Frlm.lgre,
glrlm_RunEntropy,Frlm.rl.entr,
glrlm_RunLengthNonUniformity,Frlm.rlnu,
glrlm_RunLengthNonUniformityNormalized,Frlm.rlnu.norm,
glrlm_RunPercentage,Frlm.r.perc,
glrlm_RunVariance,Frlm.rl.var,
glrlm_ShortRunEmphasis,Frlm.sre,
glrlm_ShortRunHighGrayLevelEmphasis,Frlm.srhge,
glrlm_ShortRunLowGrayLevelEmphasis,Frlm.srlge,
glszm_GrayLevelNonUniformity,Fszm.glnu,
glszm_GrayLevelNonUniformityNormalized,Fszm.glnu.norm,
glszm_GrayLevelVariance,Fszm.gl.var,
glszm_HighGrayLevelZoneEmphasis,Fszm.hgze,
glszm_LargeAreaEmphasis,Fszm.lze,
glszm_LargeAreaHighGrayLevelEmphasis,Fszm.lzhge,
glszm_LargeAreaLowGrayLevelEmphasis,Fszm.lzlge,
glszm_LowGrayLevelZoneEmphasis,Fszm.lgze,
glszm_SizeZoneNonUniformity,Fszm.zlnu,
glszm_SizeZoneNonUniformityNormalized,Fszm.zlnu.norm,
glszm_SmallAreaEmphasis,Fszm.sze,
glszm_SmallAreaHighGrayLevelEmphasis,Fszm.szhge,
glszm_SmallAreaLowGrayLevelEmphasis,Fszm.szlge,
glszm_ZoneEntropy,Fszm.zs.entr,
glszm_ZonePercentage,Fszm.z.perc,
glszm_ZoneVariance,Fszm.zs.var,
gldm_DependenceEntropy,Fdzm.zd.entr,
gldm_DependenceNonUniformity,Fdzm.zdnu,
gldm_DependenceNonUniformityNormalized,Fdzm.zdnu.norm,
gldm_DependenceVariance,Fdzm.zd.var,
gldm_GrayLevelNonUniformity,Fdzm.glnu,
gldm_GrayLevelVariance,Fdzm.gl.var,
gldm_HighGrayLevelEmphasis,Fdzm.hgze,
gldm_LargeDependenceEmphasis,Fdzm.lde,
gldm_LargeDependenceHighGrayLevelEmphasis,Fdzm.ldhge,
gldm_LargeDependenceLowGrayLevelEmphasis,Fdzm.ldlge,
gldm_LowGrayLevelEmphasis,Fdzm.lgze,
gldm_SmallDependenceEmphasis,Fdzm.sde,
gldm_SmallDependenceHighGrayLevelEmphasis,Fdzm.sdhge,
gldm_SmallDependenceLowGrayLevelEmphasis,Fdzm.sdlge,
ngtdm_Busyness,Fngt.busyness,
ngtdm_Coarseness,Fngt.coarseness,
ngtdm_Complexity,Fntg.complexity,
ngtdm_Contrast,Fngt.contrast,
ngtdm_Strength,Fngt.strength,
